2025-06-11 11:12:53.489 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 4170 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:12:53.490 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:12:54.155 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:12:54.183 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.908 seconds (process running for 1.392)
2025-06-11 11:16:29.421 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 4575 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:16:29.422 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:16:30.164 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:16:30.198 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.953 seconds (process running for 1.446)
2025-06-11 11:26:11.709 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 5511 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:26:11.710 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:26:12.412 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:26:12.444 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.905 seconds (process running for 1.371)
2025-06-11 11:28:52.336 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 5869 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:28:52.337 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:28:53.037 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:28:53.069 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.902 seconds (process running for 1.365)
2025-06-11 11:29:37.551 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 6002 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:29:37.552 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:29:38.277 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:29:38.305 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.941 seconds (process running for 1.451)
2025-06-11 11:30:56.840 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 6181 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
2025-06-11 11:30:56.841 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-06-11 11:30:57.554 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-06-11 11:30:57.589 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Started BankingIntegrationApplicationTests in 0.922 seconds (process running for 1.416)
2025-06-11 11:32:17.241 [Test worker] INFO  c.h.b.BankingIntegrationApplicationTests - Starting BankingIntegrationApplicationTests using Java 21.0.6 with PID 6478 (started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/banking_integration)
